,code,title
1604,BN110,International Business
1605,BN111,Sports Management and Coaching
1606,BN112,Creative Digital Media
1607,BN113,Horticulture
1608,BN114,Accounting and Finance
1609,BN115,Community and Youth Development
1610,BN117,Computer Engineering in Mobile Systems
1611,BN118,Early Childhood Care and Education
1612,BN119,Digital Marketing
1613,BN120,Digital Forensics and Cyber Security
1614,BN121,Mechatronic Engineering
1615,BN123,"Design,Technology and Innovation"
1616,TA022,Creative Digital Media
1617,TA023,Advertising and Marketing Communications
1618,TA024,Early Childhood Care and Education
1619,TA025,Social Care Practice
1620,TA026,International Hospitality and Tourism Management
1621,TA027,Botanical Cuisine
1622,TA028,Digital Marketing Technologies
1623,TA121,Accounting and Finance
1624,TA122,Management
1625,TA123,Marketing Management
1626,TA125,International Business
1627,TA221,Electronic Engineering
1628,TA222,Mechanical Engineering
1629,TA223,Sustainable Energy Engineering
1630,TA224,Biomedical Design
1631,TA225,Automation Engineering
1632,TA226,Engineering Software
1633,TA321,Pharmaceutical Science
1634,TA322,Computing
1635,TA323,Computing with IT Management
1636,TA326,DNA and Forensic Analysis
1637,TA327,Sports Science and Health
1638,TA328,Computing with Language (French/German/Spanish)
1639,TA329,Computing with Data Analytics
1640,NC025,Data Science
1641,,
1642,GA385,Retail Management
1643,LY218,Business - with Spanish/Irish options
1644,CI101,Counselling and Psychotherapy (Limerick)
1645,LC411,Marketing and Management (Thurles)
1646,SG149,Business in Finance and Investment
1647,SG441,Environmental Science
1648,SG446,Applied Archaeology
1649,TL803,Music Technology
1650,TL812,Computing with Digital Media
1651,WD148,Tourism Marketing
